,title,author,publisher,isbn13,pubDate,categoryId,categoryName,description,cover
250,최재천의 공부 - 어떻게 배우며 살 것인가,"최재천, 안희경 (지은이)",김영사,9788934943457,2022-05-18,51381,국내도서>인문학>인문 에세이,"동물과 인간을 깊이 관찰해온 최재천 교수가 10여 년 전부터 꼭 쓰고 싶었던 책으로, 지금 이 시대에 꼭 필요한 공부에 관한 생각을 총망라한다.",https://image.aladin.co.kr/product/29445/40/coversum/8934943459_1.jpg
251,도쿄 에일리언즈 3 (초판 한정 홀로그램 양면 일러스트 카드 + 선착순 한정 아크릴 일러스트 카드 포함 특장판),"NAOE (지은이), 박소현 (옮긴이)",서울미디어코믹스(서울문화사),,2022-07-13,4133,국내도서>만화>본격장르만화>판타지>액션 판타지,에일리언 소녀의 호위 임무 중 공격을 받아 산산조각이 나버린 텐쿠바시 쇼우. 동요하면서도 기력을 총동원하며 계속되는 공격을 피하는 군지 아키라. 그러나 전투에 익숙하지 않은 군지에게 절체절명의 위기가 찾아온다.,https://image.aladin.co.kr/product/29717/30/coversum/k392838991_1.jpg
252,역행자 - 돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청 (지은이),웅진지식하우스,9788901260716,2022-06-03,70216,국내도서>자기계발>성공>성공학,"어느 날 혜성처럼 나타나 자수성가의 아이콘이 된 청년, 자기계발 유튜버 자청이 깨달은 인생의 치트키를 탈탈 털어 넣은 그의 첫 책 《역행자》가 드디어 출간된다. 수많은 ‘자청 챌린저’들이 기다려온 책이자, 독자들의 인생을 송두리째 바꿔줄 문제작이다.",https://image.aladin.co.kr/product/29521/63/coversum/s572830936_1.jpg
253,원피스 102 - 천왕산,오다 에이치로 (지은이),대원씨아이(만화),9791169180948,2022-06-27,4133,국내도서>만화>본격장르만화>판타지>액션 판타지,,https://image.aladin.co.kr/product/29679/85/coversum/k442838282_1.jpg
254,"유럽 도시 기행 2 - 빈, 부다페스트, 프라하, 드레스덴 편",유시민 (지은이),생각의길,9788965137702,2022-07-09,51378,국내도서>인문학>교양 인문학,"시대의 격랑을 이겨내고 저마다의 방식으로 자신의 존재감을 빛내는 네 도시, 빈, 부다페스트, 프라하, 드레스덴의 이야기를 담았다.",https://image.aladin.co.kr/product/29689/64/coversum/8965137705_1.jpg
255,"해커스 토익 기출 보카 TOEIC VOCA 단어장 - 주제별 연상암기로 토익 영단어 30일 완성! | 토익 최신 기출 단어 · 어휘 + 출제포인트 수록 | 토익 RC, LC 필수 단어장, 최신개정판",David Cho (지은이),해커스어학연구소(Hackers),9788965422785,2019-01-02,49857,국내도서>외국어>토익>Vocabulary,토익 기초 단어부터 고난도 어휘까지 모든 난이도의 단어를 수록했다. 토익 빈출?주제 30개에 맞춰?단어를 수록하여 주제별로 묶어서 쉽게 암기가 가능하다. 단어 MP3를 바로 들을 수 있는 QR코드를 각 Day 시작 페이지에 삽입하여 편리하게 학습이 가능하다.,https://image.aladin.co.kr/product/17602/13/coversum/s602636930_3.jpg
256,작별인사,김영하 (지은이),복복서가,9791191114225,2022-05-02,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,"김영하가 『살인자의 기억법』 이후 9 년 만에 내놓는 장편소설 『작별인사』는 그리 멀지 않은 미래를 배경으로, 별안간 삶이 송두리째 뒤흔들린 한 소년의 여정을 좇는다. 유명한 IT 기업의 연구원인 아버지와 쾌적하고 평화롭게 살아가던 철이는 어느날 갑자기 수용소로 끌려가 난생처음 날것의 감정으로 가득한 혼돈의 세계에 맞닥뜨리게 되면서 정신적, 신체적 위기에 직면한다.",https://image.aladin.co.kr/product/29281/68/coversum/k122837904_1.jpg
257,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩) - TOEIC 기출문제 한국 독점출간 / 문제집 + 해설집 + APP 모바일 학습 / 2022 대비 최신판,ETS (엮은이),(주)YBM(와이비엠),9788917238549,2021-12-13,49854,국내도서>외국어>토익>Reading,"정기시험 기출문제 7세트와 ETS 토익 예상문제 3세트가 수록되어 있다. 시험에 나온 토익 문제로 실전 감각을 키우고, 동일한 난이도의 예상문제로 시험에 확실하게 대비할 수 있다.",https://image.aladin.co.kr/product/28415/36/coversum/8917238548_2.jpg
258,친밀한 이방인 - 드라마 &lt;안나&gt; 원작 소설,정한아 (지은이),문학동네,9788954648523,2017-10-13,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,"삶에 대한 긍정의 자세와 깊이 있는 시선으로 인생의 비의를 길어올리는 소설가 정한아의 세번째 장편소설. &lt;달의 바다&gt;, &lt;리틀 시카고&gt; 이후 5년 만에 펴내는 장편이다. 한 소설가가 자신의 소설을 훔친 비밀스러운 인물의 행적을 추적해나간다.",https://image.aladin.co.kr/product/11945/32/coversum/s202838681_2.jpg
259,이상한 과자 가게 전천당 15,"히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이)",길벗스쿨,9791164064410,2022-07-11,48877,국내도서>어린이>동화/명작/고전>외국창작동화,"잠시 가게를 닫고 길거리로 나선 베니코는 어김없이 행운의 손님들을 만나 과자를 판다. 그런데 잠깐, 베니코가 여러 명이다. 만족도 조사를 마친 로쿠조 연구소가 본격적인 행동에 나선 것이다. 로쿠조 연구소는 전천당과 베니코를 사칭해 가짜 과자를 팔기 시작하는데….",https://image.aladin.co.kr/product/29734/44/coversum/k662838597_1.jpg
